batch_size,dropout,learning_rate,neurons,num_epochs,num_layers,accuracy,precision,recall,f1_score,roc_auc,mcc
32,0.4,0.00022145788858453204,128,100,3,0.8987828315182576,0.9228426395939087,0.917255297679112,0.9200404858299596,0.9556198771398728,0.7821998548605276
64,0.4,0.0010241392449982796,128,100,4,0.8923766816143498,0.9006815968841285,0.9334006054490414,0.9167492566897919,0.952697080744242,0.7656860433658007
64,0.4,0.001512549448296607,128,100,4,0.8936579115951313,0.9096325719960278,0.9243188698284561,0.9169169169169169,0.9520934020217041,0.7694467077708874
64,0.4,0.001133638589280474,128,100,4,0.8923766816143498,0.9054187192118227,0.9273461150353178,0.9162512462612163,0.9510506842282294,0.7662029285850188
64,0.3,0.0001249762294664989,512,100,4,0.885970531710442,0.9036742800397219,0.9182643794147326,0.9109109109109109,0.9509674792430117,0.7527623197786428
64,0.4,0.001353244193580232,128,100,4,0.8968609865470852,0.9060665362035225,0.934409687184662,0.920019870839543,0.9506700656788288,0.7756695632760957
64,0.4,0.00100934618588141,128,100,4,0.8885329916720052,0.9138804457953394,0.9101917255297679,0.9120323559150657,0.9498628002903322,0.7599477238865557
64,0.3,0.001415576004477615,128,100,3,0.8936579115951313,0.9096325719960278,0.9243188698284561,0.9169169169169169,0.949857489333829,0.7694467077708874
64,0.4,0.0022651653863540017,128,100,4,0.8910954516335682,0.9036381514257621,0.9273461150353178,0.9153386454183267,0.9491121851045372,0.7633095128608793
64,0.4,0.004040272482198308,128,100,3,0.8930172966047405,0.9071146245059288,0.9263370332996973,0.9166250624063904,0.9477331067325226,0.7677588255842656
64,0.2,0.00200557471564268,128,100,3,0.8923766816143498,0.904621435594887,0.9283551967709385,0.9163346613545816,0.9466301980986777,0.766101855587533
16,0.3,0.007324195091502035,128,100,3,0.891736066623959,0.8982558139534884,0.9354187689202825,0.9164607019278299,0.9464956538672615,0.7641294095469843
32,0.3,0.0014566801663309075,128,100,2,0.8898142216527867,0.9042448173741362,0.9243188698284561,0.9141716566866267,0.945616690565971,0.7607346636012203
64,0.4,0.0006952685051160155,128,100,4,0.8930172966047405,0.9291666666666667,0.900100908173562,0.9144028703229113,0.9445606953812381,0.772578624757599
16,0.2,0.0013861124501478373,128,100,2,0.8878923766816144,0.8923076923076924,0.9364278506559032,0.913835548990645,0.942559349938924,0.7554978742512374
64,0.3,0.0010273637466906094,256,100,3,0.8891736066623959,0.9073705179282868,0.9192734611503531,0.9132832080200501,0.9425053552144741,0.7599201846841375
32,0.3,0.006528972074775396,512,100,3,0.8949391415759129,0.9155778894472362,0.9192734611503531,0.9174219536757301,0.9362906509462353,0.7730692087949304
64,0.2,0.00667777969507069,128,100,4,0.8962203715566944,0.9083743842364532,0.9303733602421796,0.9192422731804586,0.9362738329173084,0.7745728341926635
64,0.2,0.00911233257743024,256,100,3,0.8840486867392697,0.8947368421052632,0.9263370332996973,0.9102627664848786,0.9336803158248801,0.7474990401531891
32,0.2,0.008558277170670144,512,100,4,0.8827674567584881,0.88996138996139,0.9303733602421796,0.9097187962506167,0.9320702108449732,0.74431993358084
