Model,Accuracy,Precision (BBB-),Precision (BBB+),Recall (BBB-),Recall (BBB+),F1 (BBB-),F1 (BBB+),F1 Macro,ROC AUC
"Stacking Ensemble (LR+RF+XGB, SMOTE)",0.903267136450993,0.8761220825852782,0.9183266932270916,0.856140350877193,0.9303733602421796,0.8660159716060337,0.9243107769423559,0.8951633742741948,0.9660550215093738
RF - all (Tuned),0.8975016015374759,0.900390625,0.8960915157292659,0.8087719298245614,0.9485368314833501,0.8521256931608133,0.9215686274509803,0.8868471603058968,0.9651105564112097
RF - desc_maccs (Tuned),0.8975016015374759,0.900390625,0.8960915157292659,0.8087719298245614,0.9485368314833501,0.8521256931608133,0.9215686274509803,0.8868471603058968,0.9651105564112097
RF - all (Tuned),0.8975016015374759,0.900390625,0.8960915157292659,0.8087719298245614,0.9485368314833501,0.8521256931608133,0.9215686274509803,0.8868471603058968,0.9651105564112097
RF - all (No Balance),0.8910954516335682,0.8891050583657587,0.89207258834766,0.8017543859649123,0.9424823410696267,0.8431734317343174,0.9165848871442591,0.8798791594392883,0.9649538831943634
RF - desc_maccs (Tuned),0.8949391415759129,0.8888888888888888,0.8979788257940328,0.8140350877192982,0.941473259334006,0.8498168498168498,0.9192118226600985,0.8845143362384742,0.9642740807619452
RF - desc_maccs (No Balance),0.8910954516335682,0.8802281368821293,0.8966183574879227,0.8122807017543859,0.9364278506559032,0.8448905109489051,0.9160908193484699,0.8804906651486875,0.9638554003576044
RF - desc_maccs (SMOTE),0.8910954516335682,0.8703703703703703,0.9020568070519099,0.8245614035087719,0.929364278506559,0.8468468468468469,0.915506958250497,0.881176902548672,0.9638022907925718
RF - all (SMOTE),0.9026265214606022,0.8884758364312267,0.9100684261974584,0.8385964912280702,0.9394550958627649,0.8628158844765343,0.9245283018867925,0.8936720931816634,0.9636208331120435
"Voting Ensemble (LR+RF+XGB, SMOTE)",0.8949391415759129,0.884469696969697,0.9002904162633107,0.8192982456140351,0.9384460141271443,0.8506375227686703,0.9189723320158103,0.8848049273922403,0.963459734098111
RF - maccs (SMOTE),0.9013452914798207,0.8909774436090225,0.9067055393586005,0.8315789473684211,0.941473259334006,0.8602540834845736,0.9237623762376238,0.8920082298610987,0.9629613893462213
RF - maccs (No Balance),0.8942985265855221,0.887189292543021,0.8978805394990366,0.8140350877192982,0.9404641775983855,0.8490393412625801,0.9186791522917693,0.8838592467771746,0.9627710800715209
RF - desc_morgan (SMOTE),0.8904548366431775,0.8814531548757171,0.894990366088632,0.8087719298245614,0.9374369323915237,0.8435498627630376,0.9157220305569246,0.879635946659981,0.9620116132915538
RF - desc_morgan (No Balance),0.8814862267777066,0.8904665314401623,0.8773408239700374,0.7701754385964912,0.9455095862764884,0.825964252116651,0.9101505585235551,0.8680574053201031,0.9615274310903394
XGB - desc_maccs (No Balance),0.8994234465086482,0.8874296435272045,0.9056420233463035,0.8298245614035088,0.9394550958627649,0.85766092475068,0.9222387320455672,0.8899498283981235,0.9612255917290704
XGB - desc_maccs (SMOTE),0.8962203715566944,0.8805970149253731,0.904390243902439,0.8280701754385965,0.9354187689202825,0.8535262206148282,0.9196428571428571,0.8865845388788427,0.9607777010639617
XGB - desc_maccs (SMOTE),0.8962203715566944,0.8805970149253731,0.904390243902439,0.8280701754385965,0.9354187689202825,0.8535262206148282,0.9196428571428571,0.8865845388788427,0.9607777010639617
